subject_id,site,split,scan_label,voxel_mm,matrix,min_voxel_mm,max_voxel_mm
Leuven_50690,Leuven,test,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50691,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50692,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50693,Leuven,val,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50694,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50695,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50696,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50697,Leuven,test,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50698,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50699,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50700,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50701,Leuven,val,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50702,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50703,Leuven,test,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50704,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50705,Leuven,val,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50706,Leuven,val,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50707,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50708,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50709,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50710,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50711,Leuven,test,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50722,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50723,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50724,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50725,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50726,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50727,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50728,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50730,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50731,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50732,Leuven,test,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50733,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50734,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50735,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50736,Leuven,test,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50737,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50738,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50739,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50740,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50741,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50742,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50743,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50744,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50745,Leuven,test,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50746,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50747,Leuven,val,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50748,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50749,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50750,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50751,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50752,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50753,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50754,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50755,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50756,Leuven,train,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
Leuven_50757,Leuven,val,anat,0.977 x 1.2 x 0.977,256 x 182 x 256,0.977,1.2
MaxMun_51318,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51319,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51320,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51321,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51322,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51323,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51324,MaxMun,train,anat,1 x 1 x 1,160 x 239 x 155,1.0,1.0
MaxMun_51325,MaxMun,val,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51326,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51327,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51328,MaxMun,val,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51329,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51330,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51331,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51332,MaxMun,test,anat,1 x 0.977 x 0.977,160 x 256 x 256,0.977,1.0
MaxMun_51333,MaxMun,train,anat,1 x 0.977 x 0.977,160 x 256 x 256,0.977,1.0
MaxMun_51334,MaxMun,train,anat,1 x 0.977 x 0.977,160 x 256 x 256,0.977,1.0
MaxMun_51335,MaxMun,train,anat,1 x 0.977 x 0.977,160 x 256 x 256,0.977,1.0
MaxMun_51336,MaxMun,val,anat,1 x 0.977 x 0.977,160 x 256 x 256,0.977,1.0
MaxMun_51338,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51339,MaxMun,val,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51340,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51341,MaxMun,val,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51342,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51343,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51344,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51345,MaxMun,train,anat,1 x 1 x 1,144 x 240 x 256,1.0,1.0
MaxMun_51346,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51347,MaxMun,test,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51348,MaxMun,train,anat,1 x 1 x 1,144 x 240 x 256,1.0,1.0
MaxMun_51349,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51350,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51351,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51352,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51353,MaxMun,train,anat,1 x 1 x 1,144 x 240 x 256,1.0,1.0
MaxMun_51354,MaxMun,train,anat,1 x 1 x 1,144 x 240 x 256,1.0,1.0
MaxMun_51355,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51356,MaxMun,train,anat,1 x 1 x 1,144 x 240 x 256,1.0,1.0
MaxMun_51357,MaxMun,test,anat,1 x 1 x 1,144 x 240 x 256,1.0,1.0
MaxMun_51358,MaxMun,train,anat,1 x 1 x 1,144 x 240 x 256,1.0,1.0
MaxMun_51359,MaxMun,train,anat,1 x 1 x 1,144 x 240 x 256,1.0,1.0
MaxMun_51360,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51361,MaxMun,test,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51362,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51363,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51364,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51365,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51366,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51367,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51368,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51369,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51370,MaxMun,test,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51371,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51372,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51373,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51606,MaxMun,train,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
MaxMun_51607,MaxMun,val,anat,1 x 1 x 1,160 x 240 x 256,1.0,1.0
NYU_50952,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50953,NYU,test,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50954,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50955,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50956,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50957,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50958,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50959,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50960,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50961,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50962,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50964,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50965,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50966,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50967,NYU,test,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50968,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50969,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50970,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50971,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50972,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50973,NYU,test,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50974,NYU,val,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50975,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50976,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50977,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50978,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50979,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50980,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50981,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50982,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50983,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50984,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50985,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50986,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50987,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50988,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50989,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50990,NYU,val,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50991,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50992,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50993,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50994,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50995,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50996,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50997,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50998,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_50999,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_51000,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_51001,NYU,val,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_51002,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_51003,NYU,val,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_51006,NYU,train,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
NYU_51007,NYU,test,anat,1.33 x 1 x 1,128 x 256 x 256,1.0,1.33
