row_idx,subject_id,site_id,slice_idx,method,split
45,Caltech_51486,1,150,histogram_matching,train
46,Caltech_51488,1,150,histogram_matching,train
47,Caltech_51489,1,150,histogram_matching,train
48,Caltech_51490,1,155,histogram_matching,train
49,Caltech_51491,1,152,histogram_matching,train
50,Caltech_51492,1,150,histogram_matching,train
51,Caltech_51493,1,155,histogram_matching,train
52,KKI_50772,2,124,histogram_matching,train
53,KKI_50773,2,102,histogram_matching,train
54,KKI_50774,2,129,histogram_matching,train
55,KKI_50775,2,124,histogram_matching,train
56,KKI_50776,2,124,histogram_matching,train
57,KKI_50777,2,125,histogram_matching,train
58,KKI_50778,2,124,histogram_matching,train
59,KKI_50780,2,124,histogram_matching,train
60,KKI_50781,2,124,histogram_matching,train
61,KKI_50783,2,124,histogram_matching,train
62,KKI_50784,2,124,histogram_matching,train
63,KKI_50785,2,124,histogram_matching,train
64,KKI_50787,2,125,histogram_matching,train
65,KKI_50788,2,125,histogram_matching,train
66,KKI_50789,2,125,histogram_matching,train
67,KKI_50791,2,105,histogram_matching,train
68,KKI_50793,2,130,histogram_matching,train
69,KKI_50795,2,124,histogram_matching,train
70,KKI_50796,2,124,histogram_matching,train
71,KKI_50797,2,124,histogram_matching,train
72,KKI_50798,2,124,histogram_matching,train
73,KKI_50799,2,130,histogram_matching,train
74,KKI_50801,2,124,histogram_matching,train
75,KKI_50802,2,125,histogram_matching,train
76,KKI_50803,2,125,histogram_matching,train
77,KKI_50804,2,105,histogram_matching,train
78,KKI_50805,2,105,histogram_matching,train
79,KKI_50806,2,124,histogram_matching,train
80,KKI_50807,2,105,histogram_matching,train
81,KKI_50808,2,129,histogram_matching,train
82,KKI_50809,2,105,histogram_matching,train
83,KKI_50811,2,105,histogram_matching,train
84,KKI_50812,2,103,histogram_matching,train
85,KKI_50813,2,125,histogram_matching,train
86,KKI_50815,2,124,histogram_matching,train
87,KKI_50816,2,104,histogram_matching,train
88,KKI_50817,2,130,histogram_matching,train
89,KKI_50818,2,150,histogram_matching,train
90,KKI_50819,2,124,histogram_matching,train
91,KKI_50820,2,127,histogram_matching,train
92,KKI_50821,2,124,histogram_matching,train
93,KKI_50822,2,125,histogram_matching,train
94,KKI_50824,2,124,histogram_matching,train
95,KKI_50825,2,124,histogram_matching,train
96,Leuven_50682,3,125,histogram_matching,train
97,Leuven_50683,3,128,histogram_matching,train
98,Leuven_50685,3,124,histogram_matching,train
99,Leuven_50686,3,126,histogram_matching,train
100,Leuven_50687,3,150,histogram_matching,train
101,Leuven_50688,3,129,histogram_matching,train
102,Leuven_50689,3,150,histogram_matching,train
103,Leuven_50691,3,150,histogram_matching,train
104,Leuven_50692,3,130,histogram_matching,train
105,Leuven_50694,3,150,histogram_matching,train
106,Leuven_50695,3,130,histogram_matching,train
107,Leuven_50696,3,150,histogram_matching,train
108,Leuven_50698,3,150,histogram_matching,train
109,Leuven_50699,3,129,histogram_matching,train
110,Leuven_50700,3,130,histogram_matching,train
111,Leuven_50702,3,152,histogram_matching,train
112,Leuven_50704,3,152,histogram_matching,train
113,Leuven_50707,3,128,histogram_matching,train
114,Leuven_50708,3,129,histogram_matching,train
115,Leuven_50709,3,150,histogram_matching,train
116,Leuven_50710,3,127,histogram_matching,train
117,Leuven_50722,3,154,histogram_matching,train
118,Leuven_50723,3,151,histogram_matching,train
119,Leuven_50724,3,155,histogram_matching,train
120,Leuven_50725,3,130,histogram_matching,train
121,Leuven_50726,3,150,histogram_matching,train
122,Leuven_50727,3,151,histogram_matching,train
123,Leuven_50728,3,129,histogram_matching,train
124,Leuven_50730,3,130,histogram_matching,train
125,Leuven_50731,3,124,histogram_matching,train
126,Leuven_50733,3,150,histogram_matching,train
127,Leuven_50734,3,150,histogram_matching,train
128,Leuven_50735,3,156,histogram_matching,train
129,Leuven_50737,3,152,histogram_matching,train
130,Leuven_50738,3,154,histogram_matching,train
131,Leuven_50739,3,150,histogram_matching,train
132,Leuven_50740,3,156,histogram_matching,train
133,Leuven_50741,3,150,histogram_matching,train
134,Leuven_50742,3,150,histogram_matching,train
135,Leuven_50743,3,129,histogram_matching,train
136,Leuven_50744,3,156,histogram_matching,train
137,Leuven_50746,3,130,histogram_matching,train
138,Leuven_50748,3,124,histogram_matching,train
139,Leuven_50749,3,152,histogram_matching,train
140,Leuven_50750,3,130,histogram_matching,train
141,Leuven_50751,3,150,histogram_matching,train
142,Leuven_50752,3,129,histogram_matching,train
143,Leuven_50753,3,153,histogram_matching,train
144,Leuven_50754,3,130,histogram_matching,train
145,Leuven_50755,3,130,histogram_matching,train
146,Leuven_50756,3,151,histogram_matching,train
147,MaxMun_51318,4,153,histogram_matching,train
148,MaxMun_51319,4,130,histogram_matching,train
149,MaxMun_51320,4,150,histogram_matching,train
150,MaxMun_51321,4,151,histogram_matching,train
151,MaxMun_51322,4,154,histogram_matching,train
152,MaxMun_51323,4,150,histogram_matching,train
153,MaxMun_51324,4,58,histogram_matching,train
154,MaxMun_51326,4,150,histogram_matching,train
155,MaxMun_51327,4,150,histogram_matching,train
156,MaxMun_51329,4,151,histogram_matching,train
157,MaxMun_51330,4,152,histogram_matching,train
158,MaxMun_51331,4,125,histogram_matching,train
159,MaxMun_51333,4,151,histogram_matching,train
160,MaxMun_51334,4,127,histogram_matching,train
161,MaxMun_51335,4,150,histogram_matching,train
162,MaxMun_51338,4,152,histogram_matching,train
163,MaxMun_51340,4,152,histogram_matching,train
164,MaxMun_51342,4,130,histogram_matching,train
165,MaxMun_51343,4,150,histogram_matching,train
166,MaxMun_51344,4,150,histogram_matching,train
167,MaxMun_51345,4,150,histogram_matching,train
168,MaxMun_51346,4,150,histogram_matching,train
169,MaxMun_51348,4,126,histogram_matching,train
170,MaxMun_51349,4,129,histogram_matching,train
171,MaxMun_51350,4,129,histogram_matching,train
172,MaxMun_51351,4,125,histogram_matching,train
173,MaxMun_51352,4,99,histogram_matching,train
174,MaxMun_51353,4,151,histogram_matching,train
175,MaxMun_51354,4,150,histogram_matching,train
176,MaxMun_51355,4,125,histogram_matching,train
177,MaxMun_51356,4,128,histogram_matching,train
178,MaxMun_51358,4,124,histogram_matching,train
179,MaxMun_51359,4,125,histogram_matching,train
180,MaxMun_51360,4,130,histogram_matching,train
181,MaxMun_51362,4,155,histogram_matching,train
182,MaxMun_51363,4,150,histogram_matching,train
183,MaxMun_51364,4,151,histogram_matching,train
184,MaxMun_51365,4,154,histogram_matching,train
185,MaxMun_51366,4,150,histogram_matching,train
186,MaxMun_51367,4,125,histogram_matching,train
187,MaxMun_51368,4,150,histogram_matching,train
188,MaxMun_51369,4,127,histogram_matching,train
189,MaxMun_51371,4,150,histogram_matching,train
190,MaxMun_51372,4,129,histogram_matching,train
191,MaxMun_51373,4,130,histogram_matching,train
192,MaxMun_51606,4,153,histogram_matching,train
193,NYU_50952,5,100,histogram_matching,train
194,NYU_50954,5,105,histogram_matching,train
195,NYU_50955,5,103,histogram_matching,train
196,NYU_50956,5,124,histogram_matching,train
197,NYU_50957,5,126,histogram_matching,train
198,NYU_50958,5,150,histogram_matching,train
199,NYU_50959,5,130,histogram_matching,train
200,NYU_50960,5,105,histogram_matching,train
201,NYU_50961,5,130,histogram_matching,train
202,NYU_50962,5,125,histogram_matching,train
203,NYU_50964,5,104,histogram_matching,train
204,NYU_50965,5,124,histogram_matching,train
205,NYU_50966,5,105,histogram_matching,train
206,NYU_50968,5,128,histogram_matching,train
207,NYU_50969,5,104,histogram_matching,train
208,NYU_50970,5,101,histogram_matching,train
209,NYU_50971,5,124,histogram_matching,train
210,NYU_50972,5,124,histogram_matching,train
211,NYU_50975,5,124,histogram_matching,train
212,NYU_50976,5,128,histogram_matching,train
213,NYU_50977,5,152,histogram_matching,train
214,NYU_50978,5,101,histogram_matching,train
215,NYU_50979,5,124,histogram_matching,train
216,NYU_50980,5,124,histogram_matching,train
217,NYU_50981,5,104,histogram_matching,train
218,NYU_50982,5,124,histogram_matching,train
219,NYU_50983,5,129,histogram_matching,train
220,NYU_50984,5,100,histogram_matching,train
221,NYU_50985,5,100,histogram_matching,train
222,NYU_50986,5,124,histogram_matching,train
223,NYU_50987,5,124,histogram_matching,train
224,NYU_50988,5,105,histogram_matching,train
225,NYU_50989,5,124,histogram_matching,train
226,NYU_50991,5,105,histogram_matching,train
227,NYU_50992,5,124,histogram_matching,train
228,NYU_50993,5,100,histogram_matching,train
229,NYU_50994,5,99,histogram_matching,train
230,NYU_50995,5,124,histogram_matching,train
231,NYU_50996,5,124,histogram_matching,train
232,NYU_50997,5,125,histogram_matching,train
233,NYU_50998,5,100,histogram_matching,train
234,NYU_50999,5,124,histogram_matching,train
235,NYU_51000,5,124,histogram_matching,train
236,NYU_51002,5,130,histogram_matching,train
237,NYU_51006,5,105,histogram_matching,train
238,NYU_51008,5,100,histogram_matching,train
239,NYU_51010,5,129,histogram_matching,train
240,NYU_51011,5,125,histogram_matching,train
241,NYU_51014,5,100,histogram_matching,train
242,NYU_51015,5,102,histogram_matching,train
243,NYU_51016,5,151,histogram_matching,train
244,NYU_51017,5,104,histogram_matching,train
245,NYU_51019,5,125,histogram_matching,train
246,NYU_51020,5,127,histogram_matching,train
247,NYU_51021,5,103,histogram_matching,train
248,NYU_51023,5,105,histogram_matching,train
249,NYU_51024,5,124,histogram_matching,train
250,NYU_51025,5,130,histogram_matching,train
251,NYU_51026,5,125,histogram_matching,train
252,NYU_51028,5,150,histogram_matching,train
253,NYU_51029,5,124,histogram_matching,train
254,NYU_51032,5,124,histogram_matching,train
255,NYU_51033,5,99,histogram_matching,train
256,NYU_51034,5,125,histogram_matching,train
257,NYU_51035,5,105,histogram_matching,train
258,NYU_51036,5,104,histogram_matching,train
259,NYU_51038,5,105,histogram_matching,train
260,NYU_51039,5,124,histogram_matching,train
261,NYU_51040,5,124,histogram_matching,train
262,NYU_51041,5,105,histogram_matching,train
263,NYU_51042,5,104,histogram_matching,train
264,NYU_51044,5,100,histogram_matching,train
265,NYU_51045,5,126,histogram_matching,train
266,NYU_51048,5,124,histogram_matching,train
267,NYU_51049,5,103,histogram_matching,train
268,NYU_51050,5,105,histogram_matching,train
269,NYU_51052,5,124,histogram_matching,train
270,NYU_51053,5,126,histogram_matching,train
271,NYU_51054,5,130,histogram_matching,train
272,NYU_51055,5,127,histogram_matching,train
273,NYU_51056,5,100,histogram_matching,train
274,NYU_51057,5,102,histogram_matching,train
275,NYU_51059,5,124,histogram_matching,train
276,NYU_51060,5,125,histogram_matching,train
277,NYU_51063,5,105,histogram_matching,train
278,NYU_51064,5,127,histogram_matching,train
279,NYU_51067,5,130,histogram_matching,train
280,NYU_51068,5,126,histogram_matching,train
281,NYU_51069,5,101,histogram_matching,train
282,NYU_51070,5,104,histogram_matching,train
283,NYU_51071,5,124,histogram_matching,train
284,NYU_51072,5,105,histogram_matching,train
285,NYU_51073,5,104,histogram_matching,train
286,NYU_51074,5,99,histogram_matching,train
287,NYU_51076,5,102,histogram_matching,train
288,NYU_51077,5,124,histogram_matching,train
289,NYU_51078,5,105,histogram_matching,train
290,NYU_51079,5,105,histogram_matching,train
291,NYU_51081,5,125,histogram_matching,train
292,NYU_51082,5,128,histogram_matching,train
293,NYU_51083,5,104,histogram_matching,train
294,NYU_51084,5,126,histogram_matching,train
295,NYU_51085,5,130,histogram_matching,train
296,NYU_51086,5,130,histogram_matching,train
297,NYU_51087,5,124,histogram_matching,train
298,NYU_51090,5,127,histogram_matching,train
299,NYU_51091,5,105,histogram_matching,train
300,NYU_51093,5,104,histogram_matching,train
301,NYU_51095,5,100,histogram_matching,train
302,NYU_51096,5,130,histogram_matching,train
303,NYU_51097,5,124,histogram_matching,train
304,NYU_51098,5,128,histogram_matching,train
305,NYU_51099,5,130,histogram_matching,train
306,NYU_51100,5,124,histogram_matching,train
307,NYU_51101,5,125,histogram_matching,train
308,NYU_51102,5,124,histogram_matching,train
309,NYU_51103,5,125,histogram_matching,train
310,NYU_51104,5,124,histogram_matching,train
311,NYU_51105,5,150,histogram_matching,train
312,NYU_51106,5,126,histogram_matching,train
313,NYU_51107,5,126,histogram_matching,train
314,NYU_51108,5,105,histogram_matching,train
315,NYU_51110,5,130,histogram_matching,train
316,NYU_51112,5,102,histogram_matching,train
317,NYU_51114,5,129,histogram_matching,train
318,NYU_51115,5,152,histogram_matching,train
319,NYU_51116,5,124,histogram_matching,train
320,NYU_51118,5,127,histogram_matching,train
321,NYU_51119,5,130,histogram_matching,train
322,NYU_51120,5,102,histogram_matching,train
323,NYU_51121,5,104,histogram_matching,train
324,NYU_51122,5,128,histogram_matching,train
325,NYU_51123,5,100,histogram_matching,train
326,NYU_51124,5,129,histogram_matching,train
327,NYU_51125,5,102,histogram_matching,train
328,NYU_51126,5,124,histogram_matching,train
329,NYU_51127,5,124,histogram_matching,train
330,NYU_51129,5,124,histogram_matching,train
331,NYU_51130,5,127,histogram_matching,train
332,NYU_51131,5,125,histogram_matching,train
333,NYU_51146,5,104,histogram_matching,train
334,NYU_51148,5,124,histogram_matching,train
335,NYU_51149,5,128,histogram_matching,train
336,NYU_51150,5,124,histogram_matching,train
337,NYU_51152,5,130,histogram_matching,train
338,NYU_51155,5,124,histogram_matching,train
339,NYU_51156,5,124,histogram_matching,train
340,OHSU_50142,6,76,histogram_matching,train
341,OHSU_50143,6,81,histogram_matching,train
342,OHSU_50144,6,82,histogram_matching,train
343,OHSU_50145,6,76,histogram_matching,train
344,OHSU_50146,6,82,histogram_matching,train
345,OHSU_50147,6,78,histogram_matching,train
346,OHSU_50150,6,78,histogram_matching,train
347,OHSU_50152,6,96,histogram_matching,train
348,OHSU_50155,6,76,histogram_matching,train
349,OHSU_50156,6,76,histogram_matching,train
350,OHSU_50157,6,82,histogram_matching,train
351,OHSU_50159,6,97,histogram_matching,train
352,OHSU_50160,6,82,histogram_matching,train
353,OHSU_50161,6,76,histogram_matching,train
354,OHSU_50162,6,77,histogram_matching,train
355,OHSU_50165,6,76,histogram_matching,train
356,OHSU_50166,6,76,histogram_matching,train
357,OHSU_50167,6,98,histogram_matching,train
358,OHSU_50168,6,78,histogram_matching,train
359,OHSU_50169,6,76,histogram_matching,train
360,OHSU_50170,6,82,histogram_matching,train
361,OHSU_50171,6,76,histogram_matching,train
362,Olin_50102,7,90,histogram_matching,train
363,Olin_50103,7,85,histogram_matching,train
364,Olin_50104,7,85,histogram_matching,train
365,Olin_50105,7,102,histogram_matching,train
366,Olin_50106,7,88,histogram_matching,train
367,Olin_50107,7,67,histogram_matching,train
368,Olin_50110,7,84,histogram_matching,train
369,Olin_50111,7,85,histogram_matching,train
370,Olin_50112,7,84,histogram_matching,train
371,Olin_50113,7,84,histogram_matching,train
372,Olin_50114,7,89,histogram_matching,train
373,Olin_50115,7,84,histogram_matching,train
374,Olin_50117,7,87,histogram_matching,train
375,Olin_50118,7,102,histogram_matching,train
376,Olin_50119,7,73,histogram_matching,train
377,Olin_50121,7,87,histogram_matching,train
378,Olin_50123,7,85,histogram_matching,train
379,Olin_50124,7,84,histogram_matching,train
380,Olin_50125,7,73,histogram_matching,train
381,Olin_50126,7,86,histogram_matching,train
382,Olin_50128,7,71,histogram_matching,train
383,Olin_50129,7,85,histogram_matching,train
384,Olin_50131,7,73,histogram_matching,train
385,Olin_50132,7,102,histogram_matching,train
386,Olin_50133,7,90,histogram_matching,train
387,Olin_50134,7,86,histogram_matching,train
388,Olin_50135,7,69,histogram_matching,train
389,Olin_50136,7,73,histogram_matching,train
390,Olin_50137,7,90,histogram_matching,train
391,Pitt_50002,8,156,histogram_matching,train
392,Pitt_50003,8,156,histogram_matching,train
393,Pitt_50004,8,130,histogram_matching,train
394,Pitt_50005,8,130,histogram_matching,train
395,Pitt_50006,8,130,histogram_matching,train
396,Pitt_50007,8,150,histogram_matching,train
397,Pitt_50008,8,150,histogram_matching,train
398,Pitt_50010,8,150,histogram_matching,train
399,Pitt_50011,8,156,histogram_matching,train
400,Pitt_50013,8,150,histogram_matching,train
401,Pitt_50014,8,124,histogram_matching,train
402,Pitt_50015,8,150,histogram_matching,train
403,Pitt_50017,8,151,histogram_matching,train
404,Pitt_50019,8,155,histogram_matching,train
405,Pitt_50020,8,156,histogram_matching,train
406,Pitt_50023,8,130,histogram_matching,train
407,Pitt_50025,8,130,histogram_matching,train
408,Pitt_50027,8,130,histogram_matching,train
409,Pitt_50028,8,150,histogram_matching,train
410,Pitt_50029,8,150,histogram_matching,train
411,Pitt_50030,8,152,histogram_matching,train
412,Pitt_50031,8,150,histogram_matching,train
413,Pitt_50033,8,150,histogram_matching,train
414,Pitt_50034,8,150,histogram_matching,train
415,Pitt_50035,8,125,histogram_matching,train
416,Pitt_50036,8,150,histogram_matching,train
417,Pitt_50037,8,153,histogram_matching,train
418,Pitt_50038,8,150,histogram_matching,train
419,Pitt_50039,8,150,histogram_matching,train
420,Pitt_50040,8,151,histogram_matching,train
421,Pitt_50041,8,102,histogram_matching,train
422,Pitt_50043,8,155,histogram_matching,train
423,Pitt_50044,8,150,histogram_matching,train
424,Pitt_50045,8,130,histogram_matching,train
425,Pitt_50047,8,156,histogram_matching,train
426,Pitt_50048,8,130,histogram_matching,train
427,Pitt_50049,8,130,histogram_matching,train
428,Pitt_50050,8,150,histogram_matching,train
429,Pitt_50051,8,130,histogram_matching,train
430,Pitt_50052,8,101,histogram_matching,train
431,Pitt_50053,8,102,histogram_matching,train
432,Pitt_50054,8,150,histogram_matching,train
433,Pitt_50056,8,150,histogram_matching,train
434,Pitt_50057,8,130,histogram_matching,train
435,Pitt_50058,8,156,histogram_matching,train
436,Pitt_50059,8,150,histogram_matching,train
437,SBL_51556,9,64,histogram_matching,train
438,SBL_51557,9,70,histogram_matching,train
439,SBL_51558,9,64,histogram_matching,train
440,SBL_51559,9,64,histogram_matching,train
441,SBL_51560,9,66,histogram_matching,train
442,SBL_51561,9,69,histogram_matching,train
443,SBL_51564,9,70,histogram_matching,train
444,SBL_51565,9,64,histogram_matching,train
445,SBL_51567,9,64,histogram_matching,train
446,SBL_51568,9,64,histogram_matching,train
447,SBL_51569,9,64,histogram_matching,train
448,SBL_51571,9,64,histogram_matching,train
449,SBL_51572,9,64,histogram_matching,train
450,SBL_51573,9,65,histogram_matching,train
451,SBL_51574,9,69,histogram_matching,train
452,SBL_51577,9,65,histogram_matching,train
453,SBL_51578,9,64,histogram_matching,train
454,SBL_51579,9,64,histogram_matching,train
455,SBL_51580,9,64,histogram_matching,train
456,SBL_51581,9,65,histogram_matching,train
457,SBL_51582,9,65,histogram_matching,train
458,SBL_51583,9,64,histogram_matching,train
459,SBL_51584,9,65,histogram_matching,train
460,SBL_51585,9,66,histogram_matching,train
461,SDSU_50182,10,130,histogram_matching,train
462,SDSU_50183,10,150,histogram_matching,train
463,SDSU_50184,10,130,histogram_matching,train
464,SDSU_50185,10,153,histogram_matching,train
465,SDSU_50186,10,151,histogram_matching,train
466,SDSU_50187,10,154,histogram_matching,train
467,SDSU_50190,10,150,histogram_matching,train
468,SDSU_50191,10,156,histogram_matching,train
469,SDSU_50192,10,124,histogram_matching,train
470,SDSU_50193,10,156,histogram_matching,train
471,SDSU_50194,10,151,histogram_matching,train
472,SDSU_50195,10,154,histogram_matching,train
473,SDSU_50197,10,129,histogram_matching,train
474,SDSU_50198,10,150,histogram_matching,train
475,SDSU_50199,10,130,histogram_matching,train
476,SDSU_50201,10,150,histogram_matching,train
477,SDSU_50203,10,152,histogram_matching,train
478,SDSU_50204,10,152,histogram_matching,train
479,SDSU_50205,10,151,histogram_matching,train
480,SDSU_50206,10,150,histogram_matching,train
481,SDSU_50208,10,130,histogram_matching,train
482,SDSU_50209,10,150,histogram_matching,train
483,SDSU_50211,10,156,histogram_matching,train
484,SDSU_50212,10,150,histogram_matching,train
485,SDSU_50213,10,153,histogram_matching,train
486,SDSU_50214,10,150,histogram_matching,train
487,SDSU_50215,10,155,histogram_matching,train
488,SDSU_50216,10,130,histogram_matching,train
489,SDSU_50217,10,150,histogram_matching,train
490,Stanford_51160,11,130,histogram_matching,train
491,Stanford_51161,11,104,histogram_matching,train
492,Stanford_51162,11,124,histogram_matching,train
493,Stanford_51163,11,105,histogram_matching,train
494,Stanford_51164,11,126,histogram_matching,train
495,Stanford_51165,11,128,histogram_matching,train
496,Stanford_51166,11,127,histogram_matching,train
497,Stanford_51168,11,99,histogram_matching,train
498,Stanford_51169,11,129,histogram_matching,train
499,Stanford_51171,11,99,histogram_matching,train
500,Stanford_51172,11,127,histogram_matching,train
501,Stanford_51173,11,130,histogram_matching,train
502,Stanford_51175,11,104,histogram_matching,train
503,Stanford_51176,11,129,histogram_matching,train
504,Stanford_51177,11,127,histogram_matching,train
505,Stanford_51179,11,124,histogram_matching,train
506,Stanford_51181,11,153,histogram_matching,train
507,Stanford_51183,11,150,histogram_matching,train
508,Stanford_51184,11,124,histogram_matching,train
509,Stanford_51185,11,154,histogram_matching,train
510,Stanford_51186,11,127,histogram_matching,train
511,Stanford_51187,11,152,histogram_matching,train
512,Stanford_51189,11,128,histogram_matching,train
513,Stanford_51190,11,150,histogram_matching,train
514,Stanford_51191,11,130,histogram_matching,train
515,Stanford_51192,11,104,histogram_matching,train
516,Stanford_51193,11,127,histogram_matching,train
517,Stanford_51194,11,127,histogram_matching,train
518,Stanford_51195,11,129,histogram_matching,train
519,Stanford_51196,11,130,histogram_matching,train
520,Stanford_51197,11,100,histogram_matching,train
521,Stanford_51199,11,124,histogram_matching,train
522,Trinity_50232,12,150,histogram_matching,train
523,Trinity_50233,12,130,histogram_matching,train
524,Trinity_50234,12,130,histogram_matching,train
525,Trinity_50235,12,124,histogram_matching,train
526,Trinity_50236,12,124,histogram_matching,train
527,Trinity_50237,12,146,histogram_matching,train
528,Trinity_50238,12,128,histogram_matching,train
529,Trinity_50240,12,130,histogram_matching,train
530,Trinity_50241,12,130,histogram_matching,train
531,Trinity_50243,12,130,histogram_matching,train
532,Trinity_50244,12,130,histogram_matching,train
533,Trinity_50245,12,150,histogram_matching,train
534,Trinity_50247,12,130,histogram_matching,train
535,Trinity_50248,12,124,histogram_matching,train
536,Trinity_50249,12,127,histogram_matching,train
537,Trinity_50251,12,130,histogram_matching,train
538,Trinity_50253,12,128,histogram_matching,train
539,Trinity_50255,12,151,histogram_matching,train
540,Trinity_50257,12,130,histogram_matching,train
541,Trinity_50259,12,130,histogram_matching,train
542,Trinity_50260,12,124,histogram_matching,train
543,Trinity_50261,12,124,histogram_matching,train
544,Trinity_50263,12,130,histogram_matching,train
545,Trinity_50264,12,130,histogram_matching,train
546,Trinity_50265,12,130,histogram_matching,train
547,Trinity_50266,12,150,histogram_matching,train
548,Trinity_50267,12,125,histogram_matching,train
549,Trinity_50268,12,129,histogram_matching,train
550,Trinity_50269,12,151,histogram_matching,train
551,Trinity_50270,12,130,histogram_matching,train
552,Trinity_50271,12,129,histogram_matching,train
553,Trinity_51133,12,124,histogram_matching,train
554,Trinity_51134,12,150,histogram_matching,train
555,Trinity_51135,12,150,histogram_matching,train
556,Trinity_51137,12,125,histogram_matching,train
557,Trinity_51138,12,150,histogram_matching,train
558,Trinity_51139,12,150,histogram_matching,train
559,Trinity_51140,12,150,histogram_matching,train
560,Trinity_51141,12,130,histogram_matching,train
561,UCLA_51201,13,126,histogram_matching,train
562,UCLA_51204,13,124,histogram_matching,train
563,UCLA_51205,13,129,histogram_matching,train
564,UCLA_51206,13,124,histogram_matching,train
565,UCLA_51207,13,125,histogram_matching,train
566,UCLA_51208,13,103,histogram_matching,train
567,UCLA_51209,13,103,histogram_matching,train
568,UCLA_51210,13,125,histogram_matching,train
569,UCLA_51211,13,128,histogram_matching,train
570,UCLA_51212,13,125,histogram_matching,train
571,UCLA_51213,13,100,histogram_matching,train
572,UCLA_51214,13,128,histogram_matching,train
573,UCLA_51216,13,100,histogram_matching,train
574,UCLA_51217,13,129,histogram_matching,train
575,UCLA_51218,13,124,histogram_matching,train
576,UCLA_51219,13,99,histogram_matching,train
577,UCLA_51220,13,125,histogram_matching,train
578,UCLA_51223,13,125,histogram_matching,train
579,UCLA_51225,13,150,histogram_matching,train
580,UCLA_51226,13,124,histogram_matching,train
581,UCLA_51227,13,125,histogram_matching,train
582,UCLA_51228,13,124,histogram_matching,train
583,UCLA_51229,13,127,histogram_matching,train
584,UCLA_51231,13,129,histogram_matching,train
585,UCLA_51232,13,17,histogram_matching,train
586,UCLA_51233,13,12,histogram_matching,train
587,UCLA_51234,13,128,histogram_matching,train
588,UCLA_51235,13,127,histogram_matching,train
589,UCLA_51236,13,150,histogram_matching,train
590,UCLA_51237,13,127,histogram_matching,train
591,UCLA_51239,13,130,histogram_matching,train
592,UCLA_51240,13,124,histogram_matching,train
593,UCLA_51241,13,155,histogram_matching,train
594,UCLA_51242,13,14,histogram_matching,train
595,UCLA_51243,13,13,histogram_matching,train
596,UCLA_51244,13,16,histogram_matching,train
597,UCLA_51245,13,10,histogram_matching,train
598,UCLA_51246,13,13,histogram_matching,train
599,UCLA_51247,13,15,histogram_matching,train
600,UCLA_51248,13,104,histogram_matching,train
601,UCLA_51249,13,99,histogram_matching,train
602,UCLA_51250,13,124,histogram_matching,train
603,UCLA_51251,13,99,histogram_matching,train
604,UCLA_51254,13,125,histogram_matching,train
605,UCLA_51255,13,104,histogram_matching,train
606,UCLA_51256,13,127,histogram_matching,train
607,UCLA_51257,13,102,histogram_matching,train
608,UCLA_51258,13,125,histogram_matching,train
609,UCLA_51259,13,101,histogram_matching,train
610,UCLA_51260,13,153,histogram_matching,train
611,UCLA_51262,13,99,histogram_matching,train
612,UCLA_51263,13,119,histogram_matching,train
613,UCLA_51265,13,105,histogram_matching,train
614,UCLA_51266,13,125,histogram_matching,train
615,UCLA_51267,13,124,histogram_matching,train
